company_name,product_name,days_diff,max_reviews_per_day,num_dates_higher_than_max,total_reviews_higher_than_max,high_volume_review_percentage,avg_ratings_higher_than_max,avg_ratings_lower_than_max
ComfortLab,,1999,41,328,18089,37.56,4.8,4.83
FirstAid,,475,4,31,272,42.97,4.85,4.78
Rovectin,,18,5,1,11,22.0,5.0,5.0
Shift,,37,2,3,10,66.67,5.0,5.0
theWhoo,,1259,3,45,630,80.25,4.9,4.91
아프리모,,3060,2,350,1308,43.34,4.98,4.98
