company_name,product_name,avg_ratings_unique,avg_ratings_non_unique,percentage_non_unique
ComfortLab,,4.84,4.81,84.18
FirstAid,,4.81,5.0,0.95
Rovectin,,5.0,,0.0
Shift,,5.0,,0.0
Labsence,,4.92,,0.0
theWhoo,,4.9,4.75,1.02
Uncoated,,4.89,4.72,11.43
AtelierNain,,5.0,,0.0
조마드,,4.82,4.9,5.81
KoyBeauty,,4.89,4.59,45.73
아프리모,,4.98,5.0,1.19
