company_name,product_name,avg_ratings_unique,avg_ratings_non_unique,percentage_non_unique
Hetras,,4.87,4.82,59.37
Rafer,,4.69,4.98,78.54
Hereka,,4.88,4.99,60.23
LiveOrals,치카퐁 입냄새제거 고체가글 (1+1),4.82,4.86,46.11
Redence,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,4.82,4.94,26.16
Mixsoon,,4.76,4.76,5.3
Nudara,,4.94,4.96,16.25
the912,,4.76,4.85,64.39
