company_name,product_name,ratings_with_phrases,ratings_without_phrases,percentage_of_review_w_common_phrases
Hetras,,4.83,4.86,63.9
Rafer,,4.96,4.83,66.46
Hereka,,4.99,4.87,62.6
LiveOrals,치카퐁 입냄새제거 고체가글 (1+1),4.85,4.83,48.73
Redence,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,4.93,4.83,15.19
Mixsoon,,4.74,4.8,64.82
Nudara,,4.95,4.94,17.84
the912,,4.87,4.64,78.06
